Z;Symbol;Group;Period;;;;;;;;;
1;H;1;1;;;;;;;;;
2;He;18;1;;;;;;;;;
3;Li;1;2;;;;;;;;;
4;Be;2;2;;;;;;;;;
5;B;13;2;;;;;;;;;
6;C;14;2;;;;;;;;;
7;N;15;2;;;;;;;;;
8;O;16;2;;;;;;;;;
9;F;17;2;;;;;;;;;
10;Ne;18;2;;;;;;;;;
11;Na;1;3;;;;;;;;;
12;Mg;2;3;;;;;;;;;
13;Al;13;3;;;;;;;;;
14;Si;14;3;;;;;;;;;
15;P;15;3;;;;;;;;;
16;S;16;3;;;;;;;;;
17;Cl;17;3;;;;;;;;;
18;Ar;18;3;;;;;;;;;
19;K;1;4;;;;;;;;;
20;Ca;2;4;;;;;;;;;
21;Sc;3;4;;;;;;;;;
22;Ti;4;4;;;;;;;;;
23;V;5;4;;;;;;;;;
24;Cr;6;4;;;;;;;;;
25;Mn;7;4;;;;;;;;;
26;Fe;8;4;;;;;;;;;
27;Co;9;4;;;;;;;;;
28;Ni;10;4;;;;;;;;;
29;Cu;11;4;;;;;;;;;
30;Zn;12;4;;;;;;;;;
31;Ga;13;4;;;;;;;;;
32;Ge;14;4;;;;;;;;;
33;As;15;4;;;;;;;;;
34;Se;16;4;;;;;;;;;
35;Br;17;4;;;;;;;;;
36;Kr;18;4;;;;;;;;;
37;Rb;1;5;;;;;;;;;
38;Sr;2;5;;;;;;;;;
39;Y;3;5;;;;;;;;;
40;Zr;4;5;;;;;;;;;
41;Nb;5;5;;;;;;;;;
42;Mo;6;5;;;;;;;;;
43;Tc;7;5;;;;;;;;;
44;Ru;8;5;;;;;;;;;
45;Rh;9;5;;;;;;;;;
46;Pd;10;5;;;;;;;;;
47;Ag;11;5;;;;;;;;;
48;Cd;12;5;;;;;;;;;
49;In;13;5;;;;;;;;;
50;Sn;14;5;;;;;;;;;
51;Sb;15;5;;;;;;;;;
52;Te;16;5;;;;;;;;;
53;I;17;5;;;;;;;;;
54;Xe;18;5;;;;;;;;;
55;Cs;1;6;;;;;;;;;
56;Ba;2;6;;;;;;;;;
72;Hf;4;6;;;;;;;;;
73;Ta;5;6;;;;;;;;;
74;W;6;6;;;;;;;;;
75;Re;7;6;;;;;;;;;
76;Os;8;6;;;;;;;;;
77;Ir;9;6;;;;;;;;;
78;Pt;10;6;;;;;;;;;
79;Au;11;6;;;;;;;;;
80;Hg;12;6;;;;;;;;;
81;Tl;13;6;;;;;;;;;
82;Pb;14;6;;;;;;;;;
83;Bi;15;6;;;;;;;;;
84;Po;16;6;;;;;;;;;
85;At;17;6;;;;;;;;;
86;Rn;18;6;;;;;;;;;
87;Fr;1;7;;;;;;;;;
88;Ra;2;7;;;;;;;;;
104;Rf;4;7;;;;;;;;;
105;Db;5;7;;;;;;;;;
106;Sg;6;7;;;;;;;;;
107;Bh;7;7;;;;;;;;;
108;Hs;8;7;;;;;;;;;
109;Mt;9;7;;;;;;;;;
110;Ds;10;7;;;;;;;;;
111;Rg;11;7;;;;;;;;;
112;Cn;12;7;;;;;;;;;
113;Nh;13;7;;;;;;;;;
114;Fl;14;7;;;;;;;;;
115;Mc;15;7;;;;;;;;;
116;Lv;16;7;;;;;;;;;
117;Ts;17;7;;;;;;;;;
118;Og;18;7;;;;;;;;;